Rk,team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
184,Cal Poly,BW,16-19,-2,109.3,111.3,74.4,-0.006,1.07,106.2,105.2,5.07
185,Drexel,CAA,18-15,-2.1,103.9,106,62.9,-0.052,-4.59,105.3,109.9,-5.25
186,Montana St.,BSky,15-18,-2.2,105.2,107.4,65.8,-0.063,-2.08,106,108.1,4.8
187,Merrimack,MAAC,18-15,-2.2,99.9,102,64.4,-0.002,-5.41,103.9,109.3,7.19
188,Rice,Amer,13-19,-2.2,106.3,108.6,65.3,-0.084,-2.12,105.3,107.4,-7.9
189,Wyoming,MWC,20-Dec,-2.3,103.4,105.7,64.6,-0.027,4.71,109.3,104.6,-3.02
190,South Carolina St.,MEAC,20-13,-2.4,102.6,105,69.2,-0.05,-8.54,102.6,111.2,0.5
191,UTSA,Amer,19-Dec,-2.4,107.2,109.6,69.9,-0.051,1.41,107.4,106,1.46
192,Miami FL,ACC,24-Jul,-2.5,113.5,116,67.4,-0.13,7.7,110,102.3,-2.45
193,Southern Illinois,MVC,14-19,-2.7,105.6,108.3,67.9,-0.025,1.25,108.3,107.1,2.48
194,Southeastern Louisiana,Slnd,18-14,-2.7,104.6,107.3,66.9,0.011,-3.84,104.6,108.4,-0.55
195,Texas St.,SB,16-16,-2.8,109.5,112.3,65.9,-0.041,-2.6,104.4,107,-0.44
196,Ohio,MAC,16-16,-2.8,106.2,109,70.3,-0.064,-3.4,106.2,109.6,-1.41
197,Central Michigan,MAC,14-17,-2.8,105.4,108.3,67.1,-0.091,-2.04,106.3,108.3,11.56
198,South Florida,Amer,13-19,-2.8,103.5,106.3,68.2,-0.047,0.37,108.1,107.8,-5.44
199,Elon,CAA,17-15,-2.9,107.4,110.4,65.1,-0.026,-3.39,105,108.4,-0.43
200,UNC Asheville,BSth,21-11,-3,109,112,68.1,0.123,-3.22,106.4,109.6,-0.54
201,Indiana St.,MVC,14-18,-3.2,109,112.2,72.2,-0.044,-0.03,106.4,106.5,-4
202,Youngstown St.,Horz,21-13,-3.2,102.2,105.4,69.2,0.058,-4.73,105.2,109.9,-5.92
203,Southeast Missouri,OVC,21-12,-3.2,101.9,105.1,68.8,0.023,-7.34,101.8,109.1,3.87
204,Queens,ASun,19-14,-3.2,106.3,109.5,68.4,0.052,-3.41,105.8,109.2,0.75
205,Dartmouth,Ivy,14-14,-3.3,100.1,103.5,70.9,-0.057,-3.88,106,109.9,-6.58
206,Seton Hall,BE,25-Jul,-3.5,98.7,102.2,64.4,-0.042,9.93,112.1,102.1,-2.87
207,Portland St.,BSky,19-13,-3.6,100.5,104,68.4,0.015,-4.6,105.7,110.3,-1.25
208,Brown,Ivy,14-13,-3.7,103.1,106.8,65.8,0.022,-3.73,105.7,109.4,-5.64
209,Northeastern,CAA,17-15,-3.7,103.6,107.3,67.3,0.019,-4.05,104,108,-3.62
210,Valparaiso,MVC,15-19,-3.8,105.8,109.6,68,-0.001,0.18,106.5,106.4,-4.22
211,Longwood,BSth,18-14,-3.8,106,109.8,69,0.002,-4.03,106.3,110.3,-4.19
212,Idaho St.,BSky,15-15,-3.9,105.8,109.7,66,-0.059,-3.83,105.4,109.3,2.07
213,Quinnipiac,MAAC,20-13,-4.1,102,106.1,71.6,0.031,-6.97,101.9,108.9,-0.2
214,Hampton,CAA,17-16,-4.2,103.7,107.9,65.5,-0.003,-2.56,106.4,108.9,0.1
215,SIU Edwardsville,OVC,22-11,-4.3,101.9,106.2,65.8,0.052,-9,101.4,110.4,-3.38
216,Pepperdine,WCC,13-22,-4.3,106.4,110.6,69,-0.022,2.86,108.1,105.2,-4.21
217,Massachusetts,A10,20-Dec,-4.4,102.2,106.6,70.2,-0.05,0.63,106,105.4,-3.6
218,Abilene Christian,WAC,16-16,-4.5,97.7,102.1,69.4,0.036,-1.19,104.4,105.5,0.97
219,Hofstra,CAA,15-18,-4.5,97.9,102.4,63.6,-0.047,-3.11,105,108.1,1.93
220,Maine,AE,20-14,-4.5,100.1,104.6,65.9,0.004,-7.1,103.5,110.6,-3.85
221,Campbell,CAA,15-17,-4.5,101.6,106.1,65.8,-0.058,-4.18,105.1,109.3,-4.16
222,Wright St.,Horz,15-18,-4.6,109.5,114.1,67.4,-0.06,-3.26,106,109.3,0.68
223,La Salle,A10,14-19,-4.9,103.6,108.4,68.5,0.046,2.01,107.3,105.3,-1.27
224,UT Arlington,WAC,13-18,-5,107.3,112.3,67.5,-0.035,-1.33,104,105.3,-0.16
225,Little Rock,OVC,19-14,-5,99.1,104.1,66.9,0.021,-7.68,101.7,109.4,2.26
226,Bucknell,PL,18-15,-5,102.7,107.7,67.2,0.009,-7.47,103,110.5,0.28
227,Hawaii,BW,15-16,-5.1,102.9,108,65.9,0.025,-1.21,105.8,107,-2.39
228,Northwestern St.,Slnd,16-16,-5.2,102.6,107.8,64,0.079,-0.21,106.2,106.4,11.72
229,William & Mary,CAA,17-15,-5.3,107.3,112.6,71.2,0.048,-2.77,105.3,108.1,-1.17
230,Presbyterian,BSth,14-18,-5.4,104.5,109.9,64.1,-0.036,-2.5,107,109.5,-0.73
231,Delaware,CAA,16-20,-5.6,109.3,114.9,70.3,-0.017,-2.95,104.6,107.6,-1.54
232,Fordham,A10,21-Dec,-5.6,106.3,111.8,69.4,-0.003,1.44,106.4,104.9,-3.29
233,Northern Kentucky,Horz,17-16,-5.6,102.6,108.3,66.1,0.041,-2.77,106,108.7,3.39
234,Southern,SWAC,20-12,-5.7,99,104.6,68.5,0.053,-7.97,101.4,109.4,11.35
235,Toledo,MAC,18-15,-5.8,112.2,117.9,67.9,0.117,-1.92,106.2,108.1,3.83
236,Kansas City,Sum,13-20,-5.9,100.4,106.3,64.5,-0.108,-2.47,107.9,110.3,0.57
237,Manhattan,MAAC,17-13,-6,108.4,114.4,67.4,0.006,-8.63,101,109.7,-5.93
238,American,PL,22-12,-6,102,108.1,63.5,0.133,-7.13,103.2,110.4,1.62
239,UT Rio Grande Valley,Slnd,16-15,-6.2,104.7,110.9,70.4,0.007,-3.48,104.2,107.7,-0.37
240,South Dakota,Sum,19-14,-6.2,109.3,115.4,74.6,0.101,-3.33,106.9,110.3,-4.02
241,Richmond,A10,22-Oct,-6.3,102.9,109.2,63.7,-0.026,2.3,107.6,105.3,-2.81
242,Vermont,AE,21-12,-6.3,99.1,105.4,62.4,0.118,-7.11,103,110.1,-0.95
243,Cal St. Bakersfield,BW,14-19,-6.4,106.2,112.5,66,-0.02,-1.04,105.8,106.9,-2.18
244,UMass Lowell,AE,17-15,-6.4,108.5,114.9,68.5,-0.021,-7.47,101.1,108.6,-3.93
245,Missouri St.,MVC,23-Sep,-6.4,101,107.4,63.8,-0.104,0.86,108.6,107.7,-0.03
246,Incarnate Word,Slnd,17-16,-6.5,106,112.6,64.2,-0.018,-5.36,103,108.4,-5.14
247,Northern Arizona,BSky,18-15,-6.6,104.2,110.8,66.8,0.004,-5.42,105.1,110.5,-4.84
248,Jackson St.,SWAC,16-18,-6.6,100.3,106.9,68.3,0.021,-4.79,103.5,108.3,16.36
249,Mount St. Mary's,MAAC,22-12,-6.7,100.1,106.9,67.4,0.147,-7.29,101.9,109.2,-1.19
250,Georgia Southern,SB,17-16,-6.8,102.7,109.5,69.4,0.064,-4.77,104.6,109.4,-2.97
251,UC Davis,BW,15-17,-6.8,96.9,103.8,66.9,0.07,0.15,107.4,107.2,1.91
252,Tennessee St.,OVC,17-16,-7.2,102.2,109.5,70.3,-0.068,-8.44,100.9,109.3,-0.27
253,FIU,CUSA,23-Oct,-7.3,96.7,104,68.3,-0.05,0.46,107.1,106.7,-6.32
254,Siena,MAAC,14-18,-7.5,102.8,110.3,67.2,-0.067,-6.86,102.7,109.6,-0.99
255,Harvard,Ivy,15-Dec,-7.7,101.2,108.9,65.5,0.054,-2.36,105.5,107.8,-2.99
256,Charlotte,Amer,22-Nov,-7.8,104.5,112.3,64.8,-0.009,-0.24,107.3,107.6,-4.14
257,Mercer,SC,14-19,-7.9,99.3,107.2,71,-0.014,-2.33,106.3,108.6,-1.53
258,North Florida,ASun,15-17,-7.9,109.5,117.4,72.2,0.049,-2.36,106.4,108.8,6.89
259,Iona,MAAC,17-17,-7.9,98.6,106.6,68.1,0.014,-7.24,102.6,109.9,-2.87
260,Fresno St.,MWC,26-Jun,-8,100.7,108.7,70.5,-0.008,5.64,109.6,104,-2.21
